Date,Name,Average_Price_SA
1995-01-01,Nottinghamshire,58164.16700089279
1995-01-01,Oldham,49986.21777196617
1995-01-01,Oxfordshire,77972.956932334971
1995-01-01,Pembrokeshire,54724.240740837558
1995-01-01,Poole,69558.813647883828
1995-01-01,Portsmouth,55986.495189276699
1995-01-01,Powys,54376.17139037593
1995-01-01,Reading,68124.663122659855
1995-01-01,Redbridge,85068.084491250294
1995-01-01,Redcar And Cleveland,56452.978890816339
1995-01-01,Rhondda Cynon Taff,40147.415947598492
1995-01-01,Richmond Upon Thames,116023.00647726595
1995-01-01,Rochdale,54528.130445623683
1995-01-01,Rotherham,55504.836183358202
1995-01-01,Rutland,73702.554109590812
1995-01-01,Salford,51510.941656425835
1995-01-01,Sandwell,48565.81647444352
1995-01-01,Sefton,60724.754500796873
1995-01-01,Semi-All,57864.690731947718
1995-01-01,Sheffield,51845.809877257459
1995-01-01,Shropshire,62350.52443863712
1995-01-01,Slough,64931.433549845293
1995-01-01,Solihull,84657.207943880523
1995-01-01,Somerset,60703.939189162018
1995-01-01,South East,71730.269320344276
1995-01-01,South Gloucestershire,65071.199442504563
1995-01-01,South Tyneside,54776.715867485422
1995-01-01,South West,60399.118501565783
1995-01-01,South Yorkshire,51969.440665944887
1995-01-01,Southampton,55778.72175814557
1995-01-01,Southend-On-Sea,50981.762238427502
1995-01-01,Southwark,88887.880655224013
1995-01-01,St Helens,53956.533550375992
1995-01-01,Staffordshire,58633.655490969591
1995-01-01,Stockport,59425.802501389808
1995-01-01,Stockton-On-Tees,67181.499178543439
1995-01-01,Stoke-On-Trent,43617.624213222851
1995-01-01,Suffolk,56212.646885762508
1995-01-01,Sunderland,51639.409038703867
1995-01-01,Surrey,96679.584393380734
1995-01-01,Sutton,80553.74733039453
1995-01-01,Swansea,53237.476116233745
1995-01-01,Swindon,57797.418651386179
1995-01-01,Tameside,47816.675046435797
1995-01-01,Terrace-All,49677.581697570378
1995-01-01,The Vale Of Glamorgan,71545.089084313207
1995-01-01,Thurrock,56745.565273487133
1995-01-01,Torbay,59613.609136379411
1995-01-01,Torfaen,49326.570856539256
1995-01-01,Tower Hamlets,93342.579902172671
1995-01-01,Trafford,63880.97534552867
1995-01-01,Tyne And Wear,52109.346954576678
1995-01-01,Wakefield,53885.236629421321
1995-01-01,Wales,52192.93841784259
1995-01-01,Walsall,58894.186816295914
1995-01-01,Waltham Forest,67047.433021278659
1995-01-01,Wandsworth,87824.44343816099
1995-01-01,Warrington,61771.697766440317
1995-01-01,Warwickshire,64696.263210375924
1995-01-01,West Berkshire,80705.112368353439
1995-01-01,West Midlands,54878.746524745824
1995-01-01,West Midlands (region),58727.132038052121
1995-01-01,West Sussex,70397.116554668697
1995-01-01,West Yorkshire,56066.983571871257
1995-01-01,Wigan,49778.669359578736
1995-01-01,Wiltshire,67920.049568644841
1995-01-01,Windsor And Maidenhead,102610.04861618916
1995-01-01,Wirral,55385.786506312979
1995-01-01,Wokingham,102275.0280780274
1995-01-01,Wolverhampton,52583.837452327607
1995-01-01,Worcestershire,67506.83056672792
1995-01-01,Wrekin,63069.801216077183
1995-01-01,Wrexham,48219.21854705349
1995-01-01,York,64296.427084073504
1995-01-01,Yorks & Humber,58348.022543239509
